title,cast,directors,writers,genres,keywords,content_rating,run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
The Pacifier,Vin Diesel;Lauren Graham;Faith Ford;Chris Potter;Brittany Snow,Adam Shankman,Ben Garant;Thomas Lennon,Action;Comedy;Drama;Family;Thriller,bodybuilder;children;body guard;scientist;family;u.s. soldier;death of husband;male nanny,PG,95,2005,English,58.0,$56000000.00,$198636868.00,,,,
Universal Soldier: The Return,Jean-Claude Van Damme;Kiana Tom;Bill Goldberg;Michael Jai White;Heidi Schanz,Mic Rodgers,John Fasano;William Malone,Action;Science Fiction,super computer;computer program;destiny;timebomb,R,82,1999,English,43.0,$45000000.00,$10667893.00,,,,
Prisoners,Hugh Jackman;Jake Gyllenhaal;Paul Dano;Maria Bello;Melissa Leo,Denis Villeneuve,Aaron Guzikowski,Drama;Thriller;Crime,pennsylvania;kidnapping;maze;vigilante;rural setting;candlelight vigil,R,153,2013,English,79.0,$46000000.00,$122126687.00,,,,
The Cave,Cole Hauser;Eddie Cibrian;Morris Chestnut;Lena Headey;Piper Perabo,Bruce Hunt,Tegan West;Michael Steinberg,Action;Adventure;Horror;Thriller,fall;burned alive;violence;diver;swimwear,PG-13,97,2005,English,51.0,$30000000.00,$15007991.00,,,,
The Innocents,Deborah Kerr;Peter Wyngarde;Megs Jenkins;Michael Redgrave;Martin Stephens,Jack Clayton,William Archibald;Henry James;Truman Capote,Horror,england;haunted house;supernatural;ghost story;governess,NR,100,1961,English,75.0,-,-,,,,
Penny Pincher!,Dany Boon;Laurence Arné;Noémie Schmidt;Patrick Ridremont;Karina Marimon,Fred Cavayé,Nicolas Cuche;Laurent Turner,Comedy,daughter;stingy,not available,89,2016,French,54.0,-,-,,,,
Be Cool,John Travolta;Uma Thurman;Vince Vaughn;Cedric the Entertainer;André Benjamin,F. Gary Gray,Peter Steinfeld;Elmore Leonard,Comedy;Crime,baseball bat;widow;recording contract;recording studio;russian mafia;music business;night club;pawnshop,PG-13,118,2005,English,53.0,$53000000.00,$95226116.00,,,,
The Golden Child,Eddie Murphy;Charles Dance;Charlotte Lewis;Victor Wong;Peter Kwong,Michael Ritchie,Dennis Feldman,Action;Adventure;Comedy,monk;social worker;mystic;wretch;tibet;demon;evil;missing person;reluctant hero,PG-13,94,1986,English,56.0,$25000000.00,$79817939.00,,,,
Wet Hot American Summer,Janeane Garofalo;David Hyde Pierce;Michael Showalter;Marguerite Moreau;Paul Rudd,David Wain,David Wain;Michael Showalter,Comedy,adolescence;summer camp;independent film,R,97,2001,English,64.0,$5000000.00,$295206.00,,,,
Don't Say a Word,Michael Douglas;Sean Bean;Brittany Murphy;Skye McCole Bartusiak;Guy Torry,Gary Fleder,Anthony Peckham;Andrew Klavan;Patrick Smith Kelly,Thriller,cemetery;diamant;suspense;psychiatrist;killer,R,113,2001,English,60.0,$50000000.00,$100020092.00,,,,
Crank,Jason Statham;Amy Smart;Jose Pablo Cantillo;Efren Ramirez;Dwight Yoakam,Mark Neveldine;Brian Taylor,Mark Neveldine;Brian Taylor,Action;Thriller;Crime,poison;helicopter;assassin;nudity;hitman;adrenalin;fistfight;swimming pool;revenge;shootout;motorcycle;drug;cell phone;car chase;though guy;pharmacy;defibrillation;hospital gown;emergency room;aftercreditsstinger;sweatshop;run;epinephrine,R,88,2006,English,66.0,$12000000.00,$42931041.00,,,,
Cars 2,Owen Wilson;Larry the Cable Guy;Michael Caine;Emily Mortimer;John Turturro,Brad Lewis;John Lasseter,Ben Queen,Animation;Family;Adventure;Comedy,car race;sequel;comedy;anthropomorphism;best friend;duringcreditsstinger,G,106,2011,English,58.0,$200000000.00,$559852396.00,,,,
The Wedding Singer,Adam Sandler;Drew Barrymore;Christine Taylor;Allen Covert;Matthew Glave,Frank Coraci,Tim Herlihy,Romance;Comedy,wedding vows;marriage proposal;love of one's life;bride;bridegroom,PG-13,95,1998,English,65.0,$18000000.00,$123306987.00,,,,
The Angriest Man in Brooklyn,Robin Williams;Mila Kunis;Peter Dinklage;Melissa Leo;James Earl Jones,Phil Alden Robinson,Daniel Taplitz;Assi Dayan,Drama;Comedy,dark comedy;doctor,R,84,2014,English,55.0,-,-,,,,
Sister Act 2: Back in the Habit,Whoopi Goldberg;Kathy Najimy;Barnard Hughes;Mary Wickes;James Coburn,Bill Duke,Jim Cruickshank;James Orr;Judi Ann Mason,Music;Comedy,musical;monastery,PG,107,1993,English,61.0,$38000000.00,$57319029.00,,,,
Yamakasi,Châu Belle Dinh;Williams Belle;Malik Diouf;Yann Hnautra;Guylain N'Guba-Boyeke,Julien Seri;Ariel Zeitoun,Julien Seri;Philippe Lyon;Luc Besson,Action;Crime;Drama,paris;france;roof;police;parkour;thief;city,not available,90,2001,English,58.0,-,-,,,,
The Last Emperor,John Lone;Peter O'Toole;Joan Chen;Dennis Dun;Ryuichi Sakamoto,Bernardo Bertolucci,Bernardo Bertolucci;Aisin-Gioro Puyi;Enzo Ungari;Mark Peploe,Drama;History,buddhism;suicide;china;suicide attempt;war crimes;becoming an adult;isolation;war on drugs;opium;experiment;drug addiction;world war ii;revolution;emperor;arranged marriage;manchuria;dynasty;reeducation camp;biography;war;coup d'etat;teacher;japanese occupation;beijing;dowager;decadence;communism;1920s;1940s;1950s;1910s;1930s;true story,PG-13,163,1987,English,74.0,$23000000.00,$43984230.00,,,,
The Concert,Lionel Abelanski;Mélanie Laurent;Dmitri Nazarov;François Berléand;Miou-Miou,Radu Mihaileanu,Radu Mihaileanu;Héctor Cabello Reyes;Alain-Michel Blanc;Matthew Robbins,Drama;Comedy,orchestra;musical;concert;violin player;gipsy,not available,119,2009,French,70.0,-,-,,,,
War Horse,Jeremy Irvine;Tom Hiddleston;Benedict Cumberbatch;Toby Kebbell;Emily Watson,Steven Spielberg,Richard Curtis;Lee Hall,Drama;War,world war i;horse;farm life;execution;trapped;alcoholic;cavalry;plowing;artillery,PG-13,146,2011,English,71.0,$66000000.00,$177584879.00,,,,
Ice Age: Dawn of the Dinosaurs,Ray Romano;John Leguizamo;Denis Leary;Queen Latifah;Simon Pegg,Carlos Saldanha,Peter Ackerman;Michael Berg,Animation;Comedy;Family;Adventure,ice age;bridge;insanity;jungle;dinosaur;birth;duringcreditsstinger;3d,PG,94,2009,English,65.0,$90000000.00,$886686817.00,,,,
The Raid 2,Iko Uwais;Arifin Putra;Oka Antara;Tio Pakusadewo;Alex Abbad,Gareth Evans,Gareth Evans,Action;Crime;Thriller,prison;undercover;fight;gangster;police;violence;outnumbered,not available,150,2014,Indonesian,76.0,$4500000.00,$2627209.00,,,,
Kindergarten Cop,Arnold Schwarzenegger;Penelope Ann Miller;Pamela Reed;Linda Hunt;Richard Tyson,Ivan Reitman,Murray Salem;Murray Salem;Herschel Weingrod;Timothy Harris,Comedy,crime fighter;cook;drug dealer;dying and death;kindergarten;kiss;police;teacher;children education,PG-13,111,1990,English,58.0,$15000000.00,$201957688.00,,,,
Sarah's Key,Kristin Scott Thomas;Niels Arestrup;Frédéric Pierrot;Michel Duchaussoy;Dominique Frot,Gilles Paquet-Brenner,Gilles Paquet-Brenner;Serge Joncour;Tatiana De Rosnay,Drama;War,,PG-13,111,2010,French,73.0,$10000000.00,$17511906.00,,,,
La Vie en Rose,Marion Cotillard;Sylvie Testud;Pascal Greggory;Emmanuelle Seigner;Jean-Paul Rouve,Olivier Dahan,Olivier Dahan;Isabelle Sobelman,Music;Drama,musical;song;biography;performer;audience;blindness;national anthem,PG-13,140,2007,French,74.0,-,-,,,,
In Order of Disappearance,Stellan Skarsgård;Pål Sverre Hagen;Bruno Ganz;Kristofer Hivju;Jakob Oftebro,Hans Petter Moland,Kim Fupz Aakeson,Thriller;Action;Comedy;Crime,stockholm syndrome;kidnapping;gangster;revenge;betrayal;dark comedy;drug trafficking;crime lord;contract killer;vengeance,not available,115,2014,Norwegian,70.0,$4161012.00,-,,,,
Saw VI,Tobin Bell;Costas Mandylor;Betsy Russell;Mark Rolston;Peter Outerbridge,Kevin Greutert,Marcus Dunstan;Patrick Melton,Horror;Mystery,aftercreditsstinger,R,96,2009,English,61.0,$11000000.00,$68233629.00,,,,
Son of Rambow,Neil Dudgeon;Asa Butterfield;Bill Milner;Jessica Hynes;Anna Wing,Garth Jennings,Garth Jennings,Comedy,film in film;independent film;single mother;exchange student,PG-13,96,2007,English,67.0,$4000000.00,$6870249.00,,,,
An American Werewolf in Paris,Tom Everett Scott;Julie Delpy;Vince Vieluf;Julie Bowen;Phil Buckman,Anthony Waller,Anthony Waller;Tom Stern;Tim Burns,Horror;Comedy,paris;meat;cowardliness;animal horror,R,105,1997,English,52.0,$22000000.00,$26570463.00,,,,
Baby Mama,Tina Fey;Amy Poehler;Dax Shepard;Sigourney Weaver;Greg Kinnear,Michael McCullers,Michael McCullers,Comedy,pregnancy and birth;surrogate mother,PG-13,99,2008,English,58.0,$30000000.00,$63833449.00,,,,
Saint Seiya: Legend of Sanctuary,Kensho Ono;Kenji Nojima;Nobuhiko Okamoto;Kenji Akabane,Keiichi Sato,Tomohiro Suzuki,Action;Animation;Fantasy,anime,not available,93,2014,Japanese,51.0,-,-,,,,
Harakiri,Tatsuya Nakadai;Rentarô Mikuni;Shima Iwashita;Akira Ishihama;Yoshio Inaba,Masaki Kobayashi,Yasuhiko Takiguchi;Shinobu Hashimoto,Action;Drama;History,japan;suicide;asia;samurai;revenge;poverty;seppuku;ronin;flashback;17th century;shogunate,NR,135,1962,Japanese,83.0,-,-,,,,
The Secret Life of Bees,Dakota Fanning;Queen Latifah;Jennifer Hudson;Sophie Okonedo;Alicia Keys,Gina Prince-Bythewood,Gina Prince-Bythewood;Sue Monk Kidd,Adventure,woman director,PG-13,114,2008,English,73.0,$11000000.00,$38105395.00,,,,
The Keeper of Lost Causes,Nikolaj Lie Kaas;Fares Fares;Sonja Richter;Mikkel Boe Følsgaard;Søren Pilmark,Mikkel Nørgaard,Jussi Adler-Olsen;Nikolaj Arcel,Thriller;Mystery;Crime,denmark;copenhagen;based on novel;danish,not available,100,2013,Danish,70.0,-,-,,,,
A Room with a View,Maggie Smith;Helena Bonham Carter;Denholm Elliott;Julian Sands;Simon Callow,James Ivory,E.M. Forster;E.M. Forster;Ruth Prawer Jhabvala,Drama;Romance,kiss;bed and breakfast place;florence,R,117,1985,English,69.0,$3000000.00,$20966644.00,,,,
The Giver,Jeff Bridges;Meryl Streep;Brenton Thwaites;Odeya Rush;Alexander Skarsgård,Phillip Noyce,Lois Lowry;Michael Mitnick;Robert B. Weide,Drama;Science Fiction,new love;dystopia;memory;black and white;teenager;town;color;based on young adult novel;alternative world,PG-13,94,2014,English,64.0,$25000000.00,$66980456.00,,,,
Death Note,Tatsuya Fujiwara;Kenichi Matsuyama;Sota Aoyama;Asaka Seto;Shigeki Hosokawa,Shusuke Kaneko,Tsugumi Ohba;Tetsuya Oishi;Takeshi Obata,Fantasy;Mystery;Thriller,based on manga,not available,126,2006,Japanese,69.0,$20000000.00,$27793200.00,,,,
Valkyrie,Tom Cruise;Carice van Houten;Kenneth Branagh;Bill Nighy;Terence Stamp,Bryan Singer,Christopher McQuarrie;Nathan Alexander,Drama;Thriller;History;War,berlin;suicide;bomb;assassination;resistance;wife husband relationship;world war ii;plan;friendship;deception;treason;colonel;military officer;plot;german officer;piano wire;medal;violence;nazi,PG-13,121,2008,English,67.0,$75000000.00,$200276000.00,,,,
The Lion King,Jonathan Taylor Thomas;Matthew Broderick;James Earl Jones;Jeremy Irons;Moira Kelly,Rob Minkoff;Roger Allers,Rick Maki;Linda Woolverton;Irene Mecchi;Jonathan Roberts,Family;Animation;Drama,loss of loved one;lion;musical;wild boar;uncle;shaman;redemption;king;scar;hyena;meerkat,G,89,1994,English,81.0,$45000000.00,$987483777.00,,,,
Swordfish,John Travolta;Hugh Jackman;Halle Berry;Don Cheadle;Sam Shepard,Dominic Sena,Skip Woods,Action;Crime;Thriller,hacker;terrorism;violence;ex-con;wire;los angeles international airport (lax);misdirection;aftercreditsstinger,R,99,2001,English,61.0,$102000000.00,$147080413.00,,,,
JFK,Kevin Costner;Tommy Lee Jones;Gary Oldman;Kevin Bacon;Michael Rooker,Oliver Stone,Oliver Stone;Zachary Sklar;Jim Garrison;Jim Marrs,Drama;Thriller;History,assassination;cia;homophobia;new orleans;vietnam war;john f. kennedy;investigation;government;historical figure;president;conspiracy;death;kennedy assassination,R,189,1991,English,76.0,$40000000.00,$205405498.00,,,,
Suck Me Shakespeer 2,Elyas M’Barek;Karoline Herfurth;Max von der Groeben;Jella Haase;Gizem Emre,Bora Dağtekin,Bora Dağtekin,Comedy,school,12,115,2015,German,66.0,-,$83027924.00,,,,
Justice League: Gods and Monsters,Benjamin Bratt;Michael C. Hall;Tamara Taylor;Jason Isaacs;Paget Brewster,Sam Liu,Alan Burnett,Action;Animation;Fantasy,dc comics;superhero;super power,PG-13,76,2015,English,69.0,-,-,,,,
Tremors 2: Aftershocks,Fred Ward;Chris Gartin;Helen Shaver;Michael Gross;Marcelo Tubert,S. S. Wilson,S. S. Wilson;Brent Maddock,Horror;Action;Comedy;Science Fiction,small town;stranded;graboids;giant worm;oil refinery;seismograph;double barreled shotgun;metamorphosis;remote control car;hunt,PG-13,100,1996,English,58.0,$4000000.00,-,,,,
[REC]²,Manuela Velasco;Ferran Terraza;Claudia Silva;Javier Botet;Pablo Rosso,Paco Plaza;Jaume Balagueró,Paco Plaza;Jaume Balagueró;Manu Díez,Thriller;Horror,religion and supernatural;blood sample;occult;swat team;gas mask;night vision;freezer;found footage,R,85,2009,Spanish,65.0,$5600000.00,$18469680.00,,,,
Hancock,Will Smith;Charlize Theron;Jason Bateman;Jae Head;Eddie Marsan,Peter Berg,Vincent Ngo;Vince Gilligan,Fantasy;Action,flying;alcohol;love of one's life;forbidden love;lovers;affection;advertising expert;alcoholism;invulnerability;superhero;pokies;duringcreditsstinger,PG-13,92,2008,English,62.0,$150000000.00,$624029371.00,,,,
Dunkirk,Fionn Whitehead;Tom Glynn-Carney;Jack Lowden;Harry Styles;Aneurin Barnard,Christopher Nolan,Christopher Nolan,Action;Drama;History;Thriller;War,france;beach;europe;world war ii;evacuation;german;pilot;british army;war;royal navy;royal air force;soldier;private;allied forces;dunkirk;fractured narrative,PG-13,107,2017,English,74.0,$100000000.00,$525573161.00,,,,
District 13: Ultimatum,Cyril Raffaelli;David Belle;Philippe Torreton;Daniel Duval;Élodie Yung,Patrick Alessandrin,Luc Besson,Action;Thriller;Crime,prison;corruption;martial arts;ghetto;evidence;chase;delinquency;parkour;sequel;shootout;drug dealing;violence;fighting;prison escape;duringcreditsstinger;hand to hand combat,R,101,2009,French,61.0,$15000000.00,$8786375.00,,,,
The Conjuring,Patrick Wilson;Vera Farmiga;Lili Taylor;Ron Livingston;Shanley Caswell,James Wan,Chad Hayes;Carey Hayes,Horror;Thriller,sibling relationship;exorcism;supernatural powers;rhode island;based on true story;farmhouse;paranormal investigation;ghost;paranormal investigator,R,112,2013,English,74.0,$13000000.00,$318000141.00,,,,
Glory Road,Josh Lucas;Derek Luke;Jon Voight;Austin Nichols;Evan Jones,James Gartner,Bettina Gilois;Chris Cleveland,Drama,basketball;racial segregation;teachers and students,PG,118,2006,English,73.0,-,$42647449.00,,,,
Being John Malkovich,John Cusack;Cameron Diaz;Catherine Keener;Charlie Sheen;John Malkovich,Spike Jonze,Charlie Kaufman,Comedy;Drama;Fantasy,individual;transvestism;sexual identity;witch;identity;subconsciousness;new identity;pet;chimp;puppeteer;appropriation of another human being;externally controlled action;brain;pet shop;secret love,R,112,1999,English,73.0,$13000000.00,$22863596.00,,,,
Micmacs,Dany Boon;Dominique Pinon;André Dussollier;Jean-Pierre Marielle;Julie Ferrier,Jean-Pierre Jeunet,Jean-Pierre Jeunet;Guillaume Laurant,Action;Comedy;Crime,unemployment;contortionist;human cannonball,R,100,2009,French,66.0,$33000000.00,$14000000.00,,,,
Baby's Day Out,Joe Mantegna;Lara Flynn Boyle;Joe Pantoliano;Brian Haley;Cynthia Nixon,Patrick Read Johnson,John Hughes,Action;Adventure;Comedy;Family,baby;hoodlum;lost child,not available,99,1994,English,58.0,$50000000.00,$16671505.00,,,,
Van Helsing,Hugh Jackman;Kate Beckinsale;Richard Roxburgh;David Wenham;Shuler Hensley,Stephen Sommers,Stephen Sommers,Horror;Adventure;Action,transylvania;vatican;vampire;dracula;bite;frankenstein;werewolf;multiple monsters;van helsing;castles;mr. hyde,PG-13,132,2004,English,60.0,$160000000.00,$300257475.00,,,,
Deliver Us from Evil,Eric Bana;Edgar Ramírez;Olivia Munn;Joel McHale;Sean Harris,Scott Derrickson,Scott Derrickson;Paul Harris Boardman,Thriller;Crime;Horror,detective;confession;cave;lion;zoo;bible;latin;basement;priest;possessed;demon;catholic;occult;police investigation;demonic possession;iraq veteran;neo-noir;security video,R,118,2014,English,60.0,$30000000.00,-,,,,
Water for Elephants,Reese Witherspoon;Robert Pattinson;Christoph Waltz;Hal Holbrook;Richard Brake,Francis Lawrence,Sara Gruen;Richard LaGravenese,Drama;Romance,based on novel;elephant;clown;great depression;elephant trainer;veterinary,PG-13,120,2011,English,68.0,$38000000.00,$114156230.00,,,,
You Again,Kristen Bell;Sigourney Weaver;Betty White;Kristin Chenoweth;Odette Annable,Andy Fickman,Moe Jelline,Comedy;Romance,sibling relationship;marriage;bully;duringcreditsstinger,PG,105,2010,English,60.0,$20000000.00,$32005248.00,,,,
Paranoid Park,Gabe Nevins;Taylor Momsen;Jake Miller;Daniel Liu;Lauren McKinney,Gus Van Sant,Gus Van Sant;Blake Nelson,Mystery;Crime;Drama,news broadcast;decision;fall;teen angst;independent film;fatal accident;flash forward;teenager;break-up;teenage boy;security guard;nonlinear timeline;torso cut in half;skateboarder;autumn;skate park;questioning,R,85,2007,English,63.0,-,$486021.00,,,,
Gangs of New York,Leonardo DiCaprio;Daniel Day-Lewis;Cameron Diaz;Liam Neeson;Brendan Gleeson,Martin Scorsese,Kenneth Lonergan;Jay Cocks;Steven Zaillian,Drama;History;Crime,fire;irish-american;immigrant;gang war;pickpocket;ship;gang of thieves;butcher;pig;army;rescue;gang,R,167,2002,English,71.0,$100000000.00,$193772504.00,,,,
Fletch,Chevy Chase;Joe Don Baker;Dana Wheeler-Nicholson;Richard Libertini;Tim Matheson,Michael Ritchie,Andrew Bergman;Gregory McDonald,Comedy;Crime;Mystery,journalist;rio de janeiro;dirty cop;fletch;cabana;country club;divorce lawyer,PG,98,1985,English,68.0,$8000000.00,$59612888.00,,,,
It Follows,Maika Monroe;Keir Gilchrist;Daniel Zovatto;Jake Weary;Olivia Luccardi,David Robert Mitchell,David Robert Mitchell,Horror;Thriller,chase;supernatural;friends;vision;school;young adult;followed,R,100,2014,English,66.0,$2000000.00,$14674076.00,,,,
The Young and Prodigious T.S. Spivet,Kyle Catlett;Helena Bonham Carter;Judy Davis;Callum Keith Rennie;Niamh Wilson,Jean-Pierre Jeunet,Jean-Pierre Jeunet;Reif Larsen;Guillaume Laurant,Adventure;Drama;Family,train;cartographer,G,105,2013,English,67.0,$33000000.00,$9494789.00,,,,
Sleeping Beauty,Emily Browning;Rachael Blake;Ewen Leslie;Mirrah Foulkes;Ivy Mak,Julia Leigh,Julia Leigh,Drama;Romance,prostitute;eroticism;limousine;sadomasochism;student;prostitution;woman director,R,102,2011,English,53.0,$10000000.00,-,,,,
Baahubali 2: The Conclusion,Prabhas;Rana Daggubati;Sathyaraj;Anushka Shetty;Nassar,S.S. Rajamouli,S.S. Rajamouli;Rahul Koda;Vijayendra Prasad,Action;Adventure;History;War,kingdom;bilingual,not available,161,2017,Telugu,69.0,$40000000.00,$141506436.00,,,,
The Book of Life,Diego Luna;Channing Tatum;Zoe Saldana;Christina Applegate;Eugenio Derbez,Jorge R. Gutierrez,Jorge R. Gutierrez;Doug Langdale,Romance;Animation;Adventure;Comedy;Family;Fantasy,love triangle;mexico;afterlife;day of the dead;bullfighting;overcoming fears,PG,95,2014,English,73.0,$50000000.00,$97437106.00,,,,
Wall Street: Money Never Sleeps,Michael Douglas;Shia LaBeouf;Josh Brolin;Carey Mulligan;Frank Langella,Oliver Stone,Stephen Schiff;Allan Loeb,Drama;Crime,duringcreditsstinger,PG-13,133,2010,English,58.0,$70000000.00,$134748021.00,,,,
The Forgotten,Julianne Moore;Anthony Edwards;Jessica Hecht;Christopher Kovaleski;Dominic West,Joseph Ruben,Gerald Di Pego,Crime;Drama;Horror;Mystery;Science Fiction;Thriller,loss of loved one;motel;airplane;delusion;grief;memory;sexual tension;airplane crash;medication;psychiatrist;erased memory;shot,PG-13,91,2004,English,55.0,$42000000.00,$117575636.00,,,,
